File,Label
17824860952994260785_malware_emotet.pcap,malware_emotet
14483358004647872532_malware_trickster.pcap,malware_trickster
12063910066266425613_malware_dridex.pcap,malware_dridex
11410849149538756996_malware_trojandownloader.pcap,malware_trojandownloader
15708903458696986663_malware_adload.pcap,malware_adload
9205460028219589598_malware_trickster.pcap,malware_trickster
7309817737110434834_malware_htbot.pcap,malware_htbot
9149094149676175723_malware_adload.pcap,malware_adload
8712400375281247667_benign_benign.pcap,benign_benign
12608969401154184081_malware_emotet.pcap,malware_emotet
4968500657194983779_malware_artemis.pcap,malware_artemis
6940047637976186431_malware_artemis.pcap,malware_artemis
9293307719209088641_bengin_benign.pcap,bengin_benign
12375971204416487801_malware_trickster.pcap,malware_trickster
1424377395285473506_malware_bitcoinminer.pcap,malware_bitcoinminer
3461757387875683550_malware_emotet.pcap,malware_emotet
9730887830320706325_malware_trickster.pcap,malware_trickster
18355364147362645673_malware_trickster.pcap,malware_trickster
11364666835648481219_malware_magichound.pcap,malware_magichound
17196033124795831864_malware_tinba.pcap,malware_tinba
14135528688406310485_malware_trickbot.pcap,malware_trickbot
18036239413428325025_malware_magichound.pcap,malware_magichound
3823808203167929634_malware_trojandownloader.pcap,malware_trojandownloader
1372643040077889309_malware_adload.pcap,malware_adload
15773080484684100272_malware_htbot.pcap,malware_htbot
17244038501733853036_malware_adload.pcap,malware_adload
9004620394524687316_malware_htbot.pcap,malware_htbot
7981781373081757434_bengin_benign.pcap,bengin_benign
12548071957870978174_malware_emotet.pcap,malware_emotet
1133739345016938575_bengin_benign.pcap,bengin_benign
2431615629609361675_malware_htbot.pcap,malware_htbot
16918117469034814539_malware_magichound.pcap,malware_magichound
13980690389767038676_malware_trickbot.pcap,malware_trickbot
4360769001613010475_benign_benign.pcap,benign_benign
3882490930299067747_malware_ccleaner.pcap,malware_ccleaner
17590031598986818502_malware_emotet.pcap,malware_emotet
4135842745696798288_malware_magichound.pcap,malware_magichound
14385426142163137109_malware_trickbot.pcap,malware_trickbot
2565602671956598175_malware_trickbot.pcap,malware_trickbot
8358610701405417014_malware_trickbot.pcap,malware_trickbot
15850899092950438110_benign_benign.pcap,benign_benign
