File,Label
834651885636613606_malware_bitcoinminer.pcap,malware_bitcoinminer
15580382646260918250_malware_trickbot.pcap,malware_trickbot
6714117115003085297_malware_ccleaner.pcap,malware_ccleaner
13816131453492651616_malware_adload.pcap,malware_adload
11220184179270305581_malware_trickbot.pcap,malware_trickbot
1100458833317021892_malware_cobalt.pcap,malware_cobalt
2641145021885831558_malware_emotet.pcap,malware_emotet
1877534448386179439_malware_magichound.pcap,malware_magichound
4270249691836198345_malware_trickbot.pcap,malware_trickbot
6358447920291335979_bengin_benign.pcap,bengin_benign
10957247919847004269_malware_magichound.pcap,malware_magichound
338321483529794925_malware_magichound.pcap,malware_magichound
4714548219181352396_benign_benign.pcap,benign_benign
10421148395346076848_benign_benign.pcap,benign_benign
1669401519227769101_malware_trickbot.pcap,malware_trickbot
12039925788875258337_malware_emotet.pcap,malware_emotet
3744556166213468094_malware_magichound.pcap,malware_magichound
16306663665404385108_bengin_benign.pcap,bengin_benign
7240374928614200192_malware_trickbot.pcap,malware_trickbot
15492997654014525514_malware_magichound.pcap,malware_magichound
15396950695007930168_malware_tinba.pcap,malware_tinba
861639199465954670_malware_magichound.pcap,malware_magichound
17538947982968923222_malware_htbot.pcap,malware_htbot
2454238352598064295_malware_tinba.pcap,malware_tinba
9564892619512961347_malware_adload.pcap,malware_adload
5399142370869051847_benign_benign.pcap,benign_benign
3796515238360167668_malware_htbot.pcap,malware_htbot
11770350009865986925_malware_htbot.pcap,malware_htbot
2610947622526563209_malware_htbot.pcap,malware_htbot
9765087165746328074_benign_benign.pcap,benign_benign
11659905366989366446_benign_benign.pcap,benign_benign
1821049874275080514_malware_magichound.pcap,malware_magichound
16711800086545546796_benign_benign.pcap,benign_benign
8247997242023199808_malware_trojandownloader.pcap,malware_trojandownloader
16341322019525997973_bengin_benign.pcap,bengin_benign
12586255020829525014_malware_emotet.pcap,malware_emotet
6662747393070437800_malware_htbot.pcap,malware_htbot
7562141685015090113_malware_trickbot.pcap,malware_trickbot
9397405933613478311_malware_trickster.pcap,malware_trickster
1101062121938971184_benign_benign.pcap,benign_benign
9933500051123816551_malware_artemis.pcap,malware_artemis
14890781376015772140_malware_trickbot.pcap,malware_trickbot
4120206389156070460_malware_minertrojan.pcap,malware_minertrojan
15305052828823225372_malware_magichound.pcap,malware_magichound
13949699990642024602_benign_benign.pcap,benign_benign
16131468073638530097_bengin_benign.pcap,bengin_benign
6722891971615467268_malware_emotet.pcap,malware_emotet
4089929681895856133_malware_tinba.pcap,malware_tinba
18215571510593956885_benign_benign.pcap,benign_benign
12099756374567776280_malware_emotet.pcap,malware_emotet
16470376449901405534_malware_trickster.pcap,malware_trickster
10206545014313052551_bengin_benign.pcap,bengin_benign
4326180562211466056_malware_htbot.pcap,malware_htbot
368775913043122316_malware_trickbot.pcap,malware_trickbot
17634836004082960725_malware_emotet.pcap,malware_emotet
4944065164176827437_malware_trickster.pcap,malware_trickster
10336647371093166724_malware_tinba.pcap,malware_tinba
218834989258224599_bengin_benign.pcap,bengin_benign
681243206235912562_malware_artemis.pcap,malware_artemis
12340187550508796150_benign_benign.pcap,benign_benign
12217885320254661252_malware_emotet.pcap,malware_emotet
12010121367875658895_benign_benign.pcap,benign_benign
17535757297931286840_malware_trickster.pcap,malware_trickster
10003163971754540002_benign_benign.pcap,benign_benign
14370050717737898719_malware_pua.pcap,malware_pua
14893315670384469591_benign_benign.pcap,benign_benign
14274738115691873122_benign_benign.pcap,benign_benign
4302880493791641715_malware_adload.pcap,malware_adload
5670724571176887724_malware_adload.pcap,malware_adload
10352948226917224811_malware_trickster.pcap,malware_trickster
2945870261891652632_benign_benign.pcap,benign_benign
14859127721702543521_malware_emotet.pcap,malware_emotet
406280653127222728_benign_benign.pcap,benign_benign
1749825161651671057_malware_emotet.pcap,malware_emotet
2784862219303466986_benign_benign.pcap,benign_benign
1532016871238597193_malware_ursnif.pcap,malware_ursnif
8305518749440669679_benign_benign.pcap,benign_benign
8863590269984106146_benign_benign.pcap,benign_benign
16372214182429072578_malware_trickster.pcap,malware_trickster
6335504152101463191_malware_ursnif.pcap,malware_ursnif
14440375113068024938_malware_trickster.pcap,malware_trickster
11494131736839544856_malware_htbot.pcap,malware_htbot
13071968901928528253_malware_dridex.pcap,malware_dridex
7784833706171848992_malware_ursnif.pcap,malware_ursnif
10779290152494700359_benign_benign.pcap,benign_benign
13636466855329748993_malware_dridex.pcap,malware_dridex
15841136333595567052_malware_cobalt.pcap,malware_cobalt
12206540477694426863_benign_benign.pcap,benign_benign
10728817666694451299_bengin_benign.pcap,bengin_benign
4557333372842865867_malware_adload.pcap,malware_adload
11851894640940477696_malware_emotet.pcap,malware_emotet
5235944083653522828_malware_minertrojan.pcap,malware_minertrojan
14356464273323459621_bengin_benign.pcap,bengin_benign
15272121036704183199_malware_htbot.pcap,malware_htbot
16315527156555349652_benign_benign.pcap,benign_benign
4830768986851641090_benign_benign.pcap,benign_benign
12498107883374542641_malware_magichound.pcap,malware_magichound
8899904706144588857_benign_benign.pcap,benign_benign
3765642216898214665_malware_tinba.pcap,malware_tinba
11259835525354542379_malware_emotet.pcap,malware_emotet
9860887505879478833_malware_ursnif.pcap,malware_ursnif
10888912421187367410_malware_trickbot.pcap,malware_trickbot
3347846989678929189_bengin_benign.pcap,bengin_benign
11973366697927955045_malware_htbot.pcap,malware_htbot
10173212749160778394_malware_dridex.pcap,malware_dridex
16429997797984954558_malware_emotet.pcap,malware_emotet
10548843166569787277_malware_dridex.pcap,malware_dridex
15139418548016580357_benign_benign.pcap,benign_benign
6997480843631369850_malware_trickbot.pcap,malware_trickbot
540715341663849661_bengin_benign.pcap,bengin_benign
9372453968830429474_malware_artemis.pcap,malware_artemis
15557458104952096675_benign_benign.pcap,benign_benign
9005994942231871077_malware_trickster.pcap,malware_trickster
